case,plant,Kp,Ki,Kd,rise_time,settling_time,overshoot_pct,steady_state_error,peak_time,peak_value,MSE
Baseline,G1,1.0,0.5,0.0,5.388000000000001,10.99,0.0,4.090661542499596e-06,39.999,0.9999959093384575,0.018750002345381857
ACO-Optimized,G1,9.83333,9.83333,0.833333,0.335,0.619,0.3016064751509395,6.8833827526759706e-15,1.337,1.0030160647515094,0.0007668960552260973
Baseline,G2,1.0,0.2,0.1,15.654,31.492,0.0,0.00836069859112576,39.999,0.9916393014088742,0.03462485070567891
ACO-Optimized,G2,9.83333,7.16667,1.16667,0.18100000000000002,1.9000000000000001,15.217168325992802,1.4432899320127035e-14,0.387,1.152171683259928,0.0018659048316318784
Baseline,G3,0.5,0.1,0.1,26.867,,0.0,0.040626083099569166,39.999,0.9593739169004308,0.09297379249628432
ACO-Optimized,G3,9.5,5.5,4.16667,0.338,5.954,18.97699700816795,1.1308073366578242e-09,1.443,1.1897699700816795,0.0066998287273821065
